font (NN) -> font
Provided (VBN) -> Provided
by (IN) -> by
explosiveskull (JJ) -> explosiveskull
https (NN) -> http
i (NN) -> i
We (PRP) -> We
come (VBP) -> come
to (TO) -> to
you (PRP) -> you
now (RB) -> now
with (IN) -> with
revelations (NNS) -> revelation
revelations (NNS) -> revelation
i (VBP) -> i
about (IN) -> about
last (JJ) -> last
week (NN) -> week
attack (NN) -> attack
in (IN) -> in
i (NN) -> i
An (DT) -> An
anonymous (JJ) -> anonymous
source (NN) -> source
provided (VBD) -> provide
this (DT) -> this
i (NN) -> i
It (PRP) -> It
shows (VBZ) -> show
Quentin (NNP) -> Quentin
Beck (NNP) -> Beck
aka (IN) -> aka
Mysterio (NNP) -> Mysterio
i (JJ) -> i
moments (NNS) -> moment
before (IN) -> before
his (PRP$) -> his
i (NN) -> i
You (PRP) -> You
may (MD) -> may
find (VB) -> find
this (DT) -> this
video (NN) -> video
i (NN) -> i
I (PRP) -> I
managed (VBD) -> manage
to (TO) -> to
send (VB) -> send
the (DT) -> the
Elemental (NNP) -> Elemental
back (NN) -> back
i (NN) -> i
but (CC) -> but
I (PRP) -> I
do (VBP) -> do
think (VB) -> think
I (PRP) -> I
gon (VBP) -> gon
na (TO) -> na
make (VB) -> make
it (PRP) -> it
off (RP) -> off
this (DT) -> this
i (NN) -> i
attacked (VBD) -> attack
i (NN) -> i
He (PRP) -> He
has (VBZ) -> have
an (DT) -> an
army (NN) -> army
of (IN) -> of
drones (NNS) -> drone
Stark (NNP) -> Stark
i (NN) -> i
He (PRP) -> He
saying (VBG) -> say
he (PRP) -> he
gon (VB) -> gon
na (TO) -> na
be (VB) -> be
the (DT) -> the
new (JJ) -> new
Iron (NNP) -> Iron
Man (NNP) -> Man
No (NNP) -> No
one (NN) -> one
i (NN) -> i
Are (VBP) -> Are
you (PRP) -> you
sure (JJ) -> sure
you (PRP) -> you
want (VBP) -> want
to (TO) -> to
commence (VB) -> commence
the (DT) -> the
drone (NN) -> drone
attack (NN) -> attack
i (NN) -> i
There (EX) -> There
will (MD) -> will
be (VB) -> be
significant (JJ) -> significant
i (JJ) -> i
Do (VBP) -> Do
it (PRP) -> it
Execute (VB) -> Execute
them (PRP) -> them
i (VB) -> i
This (DT) -> This
shocking (VBG) -> shock
video (NN) -> video
was (VBD) -> be
released (VBN) -> release
earlier (RB) -> earlier
today (NN) -> today
i (NN) -> i
on (IN) -> on
the (DT) -> the
controversial (JJ) -> controversial
news (NN) -> news
website (NN) -> website
i (NN) -> i
There (EX) -> There
you (PRP) -> you
have (VBP) -> have
it (PRP) -> it
folks (VBZ) -> folks
Conclusive (JJ) -> Conclusive
proof (NN) -> proof
i (NN) -> i
that (WDT) -> that
was (VBD) -> be
responsible (JJ) -> responsible
i (NN) -> i
for (IN) -> for
the (DT) -> the
brutal (JJ) -> brutal
murder (NN) -> murder
of (IN) -> of
Mysterio (NNP) -> Mysterio
i (VBP) -> i
an (DT) -> an
interdimensional (JJ) -> interdimensional
warrior (NN) -> warrior
i (NN) -> i
who (WP) -> who
gave (VBD) -> give
his (PRP$) -> his
life (NN) -> life
to (TO) -> to
protect (VB) -> protect
our (PRP$) -> our
planet (NN) -> planet
i (NN) -> i
and (CC) -> and
who (WP) -> who
will (MD) -> will
no (DT) -> no
doubt (NN) -> doubt
go (VB) -> go
down (RP) -> down
in (IN) -> in
history (NN) -> history
i (NN) -> i
as (IN) -> as
the (DT) -> the
greatest (JJS) -> great
superhero (NN) -> superhero
of (IN) -> of
all (DT) -> all
i (NNS) -> i
But (CC) -> But
that (IN) -> that
not (RB) -> not
all (DT) -> all
i (NN) -> i
Here (RB) -> Here
the (DT) -> the
real (JJ) -> real
i (JJ) -> i
Brace (NNP) -> Brace
yourselves (NNS) -> yourselves
You (PRP) -> You
might (MD) -> might
wan (VB) -> wan
na (JJ) -> na
sit (NN) -> sit
i (NN) -> i
real (JJ) -> real
real (JJ) -> real
name (NN) -> name
is (VBZ) -> be
i (JJ) -> i
name (NN) -> name
is (VBZ) -> be
Peter (NNP) -> Peter
What (WP) -> What
the (DT) -> the
f (NN) -> f
i (NN) -> i
That (WDT) -> That
right (VBD) -> right
folks (NNS) -> folk
Peter (NNP) -> Peter
i (VBP) -> i
A (NNP) -> A
high (JJ) -> high
school (NN) -> school
delinquent (NN) -> delinquent
She (PRP) -> She
knows (VBZ) -> know
him (PRP) -> him
Are (NNP) -> Are
you (PRP) -> you
girlfriend (VBP) -> girlfriend
i (JJ) -> i
is (VBZ) -> be
in (IN) -> in
fact (NN) -> fact
Are (NNP) -> Are
you (PRP) -> you
girlfriend (VBP) -> girlfriend
i (VB) -> i
the (DT) -> the
vile (NN) -> vile
vigilante (NN) -> vigilante
villain (NN) -> villain
Yo (NNP) -> Yo
it (PRP) -> it
him (PRP) -> him
Uh (NNP) -> Uh
whoa (VBD) -> whoa
whoa (JJ) -> whoa
whoa (NN) -> whoa
Please (NNP) -> Please
do (VB) -> do
touch (VB) -> touch
her (PRP$) -> her
sir (NN) -> sir
You (PRP) -> You
just (RB) -> just
a (DT) -> a
kid (NN) -> kid
You (PRP) -> You
murdered (VBD) -> murder
Mysterio (NNP) -> Mysterio
Um (NNP) -> Um
You (PRP) -> You
helped (VBD) -> help
him (PRP) -> him
No (NNP) -> No
I (PRP) -> I
did (VBD) -> do
Come (VB) -> Come
on (IN) -> on
kid (NN) -> kid
let (VB) -> let
me (PRP) -> me
see (VB) -> see
your (PRP$) -> your
face (NN) -> face
He (PRP) -> He
hit (VBD) -> hit
me (PRP) -> me
hit (VB) -> hit
me (PRP) -> me
Come (VB) -> Come
on (IN) -> on
He (PRP) -> He
hit (VBD) -> hit
me (PRP) -> me
i (VB) -> i
All (PDT) -> All
this (DT) -> this
time (NN) -> time
people (NNS) -> people
